City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
281,Kuching,MY,1.55,110.3333,84.42,74,40,4.61,scattered clouds
282,Zanesville,US,39.9404,-82.0132,32.65,75,4,1.01,clear sky
283,Souillac,MU,-20.5167,57.5167,72.36,94,40,3.44,scattered clouds
284,Bellevue,US,47.6104,-122.2007,47.62,92,90,5.01,overcast clouds
285,Ilebo,CD,-4.3167,20.5833,68.95,98,100,1.19,light rain
286,Cururupu,BR,-1.8283,-44.8683,75.51,89,77,2.66,broken clouds
287,Constitucion,CL,-35.3333,-72.4167,61.43,58,0,9.6,clear sky
288,Sakakah,SA,29.9697,40.2064,51.37,65,0,2.53,clear sky
289,West Bay,KY,19.3667,-81.4167,80.67,79,20,2.3,few clouds
290,Nelson Bay,AU,-32.7167,152.15,75.76,83,89,4.0,overcast clouds
291,Tautira,PF,-17.7333,-149.15,84.22,78,84,12.8,light rain
292,Ler,SS,8.3018,30.1418,71.6,27,93,6.06,overcast clouds
293,Kangaatsiaq,GL,68.3065,-53.4641,21.13,71,98,6.89,overcast clouds
294,Huarmey,PE,-10.0681,-78.1522,66.09,82,97,6.6,overcast clouds
295,Bengkulu,ID,-3.8004,102.2655,82.27,69,99,2.95,overcast clouds
296,Belaya Gora,RU,68.5333,146.4167,-17.9,99,100,4.56,overcast clouds
297,Ferme-Neuve,CA,46.7001,-75.4493,24.58,66,100,6.58,overcast clouds
298,Norman Wells,CA,65.282,-126.8329,-18.36,69,75,5.75,light snow
299,Santa Maria,BR,-29.6842,-53.8069,76.3,65,0,1.14,clear sky
300,Udachnyy,RU,66.4167,112.4,-33.57,100,89,6.44,overcast clouds
301,Shenjiamen,CN,29.9576,122.298,47.41,48,26,18.95,scattered clouds
302,Ceska Skalice,CZ,50.3947,16.0428,35.02,84,11,0.36,few clouds
303,Saskylakh,RU,71.9167,114.0833,-24.83,98,12,8.57,few clouds
304,Marrakesh,MA,31.6315,-8.0083,57.27,67,75,8.05,broken clouds
305,Abu Samrah,SY,35.3029,37.1841,53.74,69,0,1.25,clear sky
306,Mwene-Ditu,CD,-7.0,23.45,64.13,96,100,2.84,overcast clouds
307,Batagay,RU,67.6333,134.6333,-28.44,99,22,3.15,few clouds
308,Sitka,US,57.0531,-135.33,37.29,87,90,8.05,mist
309,Khani,GE,41.9563,42.9566,29.77,58,5,5.82,clear sky
310,Nouadhibou,MR,20.931,-17.0347,71.58,68,0,9.22,clear sky
311,Ancud,CL,-41.8697,-73.8203,51.42,90,13,5.57,few clouds
312,Sabaudia,IT,41.3003,13.0282,57.9,94,100,14.56,overcast clouds
313,Isla Mujeres,MX,21.2311,-86.731,73.45,67,18,16.44,few clouds
314,Imeni Poliny Osipenko,RU,52.4201,136.4853,29.84,87,100,25.46,light snow
315,Uthal,PK,25.8072,66.6219,71.78,23,3,3.31,clear sky
316,Aranos,NA,-24.1333,19.1167,56.59,31,0,11.61,clear sky
317,Tabou,CI,4.423,-7.3528,78.26,83,5,3.31,clear sky
318,Korla,CN,41.7597,86.1469,29.84,54,8,1.97,clear sky
319,Clyde River,CA,70.4692,-68.5914,14.23,92,100,16.11,light snow
320,Dogondoutchi,NE,13.6393,4.0287,77.99,20,0,7.81,clear sky
321,Pangoa,PE,-12.1167,-73.0,68.95,99,99,2.08,overcast clouds
322,Halifax,CA,44.6453,-63.5724,55.29,95,100,11.01,overcast clouds
323,Uinskoye,RU,56.8817,56.5813,21.47,90,94,12.44,overcast clouds
324,Malchevskaya,RU,49.0552,40.3625,35.55,89,100,4.43,overcast clouds
325,Kirkwood,US,38.5834,-90.4068,32.95,59,1,4.61,clear sky
326,Stromness,GB,58.965,-3.296,46.87,87,100,11.01,overcast clouds
327,Ateptsevo,RU,55.3236,36.75,23.13,93,58,4.16,broken clouds
328,Mana,GF,5.6592,-53.7767,77.18,91,84,7.11,broken clouds
329,Poya,NC,-21.35,165.15,84.06,63,100,8.3,overcast clouds
330,Okhotsk,RU,59.3833,143.3,7.5,88,44,14.0,scattered clouds
331,Sibolga,ID,1.7427,98.7792,84.47,65,100,3.24,overcast clouds
332,Tres Lagoas,BR,-20.7511,-51.6783,74.91,51,13,1.95,few clouds
333,Victoria,HK,22.2855,114.1577,62.19,77,100,1.01,overcast clouds
334,Weihe,CN,32.9952,105.3247,48.22,37,15,1.54,few clouds
335,Yurga,RU,55.7231,84.8861,27.32,88,98,17.13,overcast clouds
336,Ahipara,NZ,-35.1667,173.1667,67.28,65,15,11.72,few clouds
337,Mareeba,AU,-17.0,145.4333,96.44,39,5,4.99,clear sky
338,Palamos,ES,41.8484,3.1291,55.31,49,100,8.99,overcast clouds
339,Wellin,BE,50.0813,5.1141,34.48,92,5,4.27,clear sky
340,Sorland,NO,67.667,12.6934,41.25,68,100,28.32,overcast clouds
341,Shelburne,CA,44.0787,-80.2041,27.05,97,38,11.99,light snow
342,Mnogovershinnyy,RU,53.9353,139.9242,27.39,96,100,28.95,light snow
343,Taywarah,AF,33.35,64.4167,33.91,53,8,1.79,clear sky
